row_number,review_selected,sentiment,sentimiento
0,"Uno de los otros críticos ha mencionado que después de ver solo 1 Oz Episodio, estará enganchado. Tienen razón, ya que esto es exactamente lo que sucedió conmigo. La primera cosa que me golpeó sobre Oz fue su brutalidad y sus escenas de violencia inconfiadas, que se encuentran a la derecha de la palabra. Confía en mí, este no es un espectáculo para los débiles de corazón o tímido. Este espectáculo no extrae punzones con respecto a las drogas, el sexo o la violencia. Es Hardcore, en el uso clásico de la palabra. Se llama OZ, ya que es el apodo dado al Penitenciario del Estado de Seguridad Máximo de Oswald. Se centra principalmente en la ciudad de Emeralda, una sección experimental de la prisión donde todas las células tienen frentes de vidrio y se enfrentan hacia adentro, por lo que la privacidad no es alta en la agenda. Em City es el hogar de muchos ... Fariarios, musulmanes, gangstas, latinos, cristianos, italianos, irlandeses y más ... así que las esposas, las miradas de muerte, las relaciones peligrosas y los acuerdos sombreados nunca están lejos. Yo diría el principal atractivo de El espectáculo se debe al hecho de que va donde otros espectáculos no se atreverían. Olvídate de las imágenes bonitas pintadas para las audiencias convencionales, olvidan el encanto, olviden el romance ... Oz no se mete. El primer episodio que he visto me sorprendió tan desagradable que fue surrealista, no podía decir que estaba listo para ello, pero cuando observé más, desarrollé un gusto por Oz, y me acostumbré a los altos niveles de violencia gráfica. No solo la violencia, sino la injusticia (Guardias torcidas que se vendrán por un níquel, los reclusos que se matarán en orden y se alejarán con él, de manera educada, los reclusos de clase media se convirtieron en perras de la prisión debido a su falta de habilidades callejeras O experiencia en la prisión) viendo oz, puede sentirse cómodo con lo que es incómodo visualización ... eso es si puedes ponerte en contacto con tu lado más oscuro.",positive,positivo
1,"A wonderful little production. The filming technique is very unassuming- very old-time-BBC fashion and gives a comforting, and sometimes discomforting, sense of realism to the entire piece. The actors are extremely well chosen- Michael Sheen not only ""has got all the polari"" but he has all the voices down pat too! You can truly see the seamless editing guided by the references to Williams' diary entries, not only is it well worth the watching but it is a terrificly written and performed piece. A masterful production about one of the great master's of comedy and his life. The realism really comes home with the little things: the fantasy of the guard which, rather than use the traditional 'dream' techniques remains solid then disappears. It plays on our knowledge and our senses, particularly with the scenes concerning Orton and Halliwell and the sets (particularly of their flat with Halliwell's murals decorating every surface) are terribly well done.",positive,positivo
2,"I thought this was a wonderful way to spend time on a too hot summer weekend, sitting in the air conditioned theater and watching a light-hearted comedy. The plot is simplistic, but the dialogue is witty and the characters are likable (even the well bread suspected serial killer). While some may be disappointed when they realize this is not Match Point 2: Risk Addiction, I thought it was proof that Woody Allen is still fully in control of the style many of us have grown to love.This was the most I'd laughed at one of Woody's comedies in years (dare I say a decade?). While I've never been impressed with Scarlet Johanson, in this she managed to tone down her ""sexy"" image and jumped right into a average, but spirited young woman.This may not be the crown jewel of his career, but it was wittier than ""Devil Wears Prada"" and more interesting than ""Superman"" a great comedy to go see with friends.",positive,positivo
3,"Basically there's a family where a little boy (Jake) thinks there's a zombie in his closet & his parents are fighting all the time.This movie is slower than a soap opera... and suddenly, Jake decides to become Rambo and kill the zombie.OK, first of all when you're going to make a film you must Decide if its a thriller or a drama! As a drama the movie is watchable. Parents are divorcing & arguing like in real life. And then we have Jake with his closet which totally ruins all the film! I expected to see a BOOGEYMAN similar movie, and instead i watched a drama with some meaningless thriller spots.3 out of 10 just for the well playing parents & descent dialogs. As for the shots with Jake: just ignore them.",negative,negativo
4,"Petter Mattei's ""Love in the Time of Money"" is a visually stunning film to watch. Mr. Mattei offers us a vivid portrait about human relations. This is a movie that seems to be telling us what money, power and success do to people in the different situations we encounter. This being a variation on the Arthur Schnitzler's play about the same theme, the director transfers the action to the present time New York where all these different characters meet and connect. Each one is connected in one way, or another to the next person, but no one seems to know the previous point of contact. Stylishly, the film has a sophisticated luxurious look. We are taken to see how these people live and the world they live in their own habitat.The only thing one gets out of all these souls in the picture is the different stages of loneliness each one inhabits. A big city is not exactly the best place in which human relations find sincere fulfillment, as one discerns is the case with most of the people we encounter.The acting is good under Mr. Mattei's direction. Steve Buscemi, Rosario Dawson, Carol Kane, Michael Imperioli, Adrian Grenier, and the rest of the talented cast, make these characters come alive.We wish Mr. Mattei good luck and await anxiously for his next work.",positive,positivo
5,"Probablemente mi película favorita de todos los tiempos, una historia de desinteresidad, sacrificio y dedicación a una causa noble, pero no es predicada ni aburrida.Simplemente nunca envejece, a pesar de haberlo visto unas 15 o más veces en los últimos 25 años.El rendimiento de Paul Lukas trae lágrimas a mis ojos, y Bette Davis, en uno de sus muy pocos roles verdaderamente simpáticos, es una deleite.Los niños son, como dice la abuela, más como ""vestidos de enanos"" que los niños, pero eso solo los hace más divertidos de ver.Y el lento despertar de la madre a lo que está sucediendo en el mundo y bajo su propio techo es creíble y sorprendente.Si tuviera una docena de pulgares, todos serían ""arriba"" para esta película.",positive,positivo
6,"Seguro que me gustaría ver una resurrección de una serie de Seahunt de Dated con la tecnología que tienen hoy. Traería la emoción del niño en mí. Crecí en la televisión en blanco y negro, la TV y la junta de mar con armas de arma eran mis héroes todas las semanas.Mi voto por un regreso de una nueva caza de mar. Necesitamos un cambio de ritmo en la televisión y esto funcionaría para un mundo de la aventura bajo el agua. Oh, por cierto, gracias por un punto de vista así para ver muchos puntos de vista sobre la televisión y elMuchas películas. Así que cualquier otra manera, creo que tengo lo que quiero decir. Sería bueno leer algunos puntos más más sobre la búsqueda del mar. Si mis rimas serían 10 líneas, ¿me dejaría presentarme o dejarme salir?Teniendo en duda y si me quites, si esto es así, entonces debo irme así que lo hagamos.",positive,positivo
7,"Este espectáculo fue una idea increíble, fresca e innovadora en los años 70 cuando se emitió por primera vez.Los primeros 7 u 8 años fueron brillantes, pero las cosas se dejaron después de eso.Para 1990, el espectáculo ya no era realmente divertido, y continúa su descenso a la completa pérdida de tiempo que es hoy. Es verdaderamente vergonzosa hasta qué punto ha caído este espectáculo.La escritura es dolorosamente mala, las actuaciones son casi tan malas, si no para el respiro levemente entretenido de los hosts de invitados, este programa probablemente no estaría en el aire.Me resulta tan difícil creer que el mismo creador que seleccionó a mano el reparto original también eligió la banda de hacks que siguieron.¿Cómo se puede reconocer ese brillo y luego verlos adecuados para reemplazarlo con tal mediocridad?Sentí que debía darle a 2 estrellas del respeto por el elenco original que hizo que este programa fuera un gran éxito.Como es ahora, el espectáculo es simplemente horrible.No puedo creer que todavía esté en el aire.",negative,negativo
8,"Alentados por los comentarios positivos sobre esta película aquí, estaba deseando ver esta película.Mal error.He visto 950+ películas y esto es verdaderamente uno de los peores de ellos, es horrible en casi todos los sentidos: la edición, la ritmo, la historia, la actuación "", la sola canción de la película, una melodía coja, no se juegamenos de cuatro veces).La película se ve barata y desagradable y es aburrida en el extremo.Rara vez he estado tan feliz de ver los créditos finales de una película.Lo único que me impide dar esto un puntaje de 1 es Harvey Keitel, mientras que esto está lejos de su mejor rendimiento, al menos parece estar haciendo un poco de esfuerzo.Uno solo para obsesivos de Keitel.",negative,negativo
9,"Si te gusta la risa original desgarradora, te gustará esta película.Si eres joven o viejo, te encantará esta película, el infierno, incluso a mi mamá le gustó. ¡¡¡Campamento de Great !!!",positive,positivo
